Reactions
ATPase_tx1
ATPase_tx2
Biomass_tx1
Biomass_tx2
CIT_PROTON_rev_vc1
CIT_PROTON_rev_vc2
CIT_PROTON_vc1
CIT_PROTON_vc2
CIT_v_dielTransfer
CO2_tx1
CO2_tx2
FRUCTAN_v_dielTransfer
FRU_PROTON_rev_vc1
FRU_PROTON_rev_vc2
FRU_vc1
FRU_vc2
H2O_tx1
H2O_tx2
MAL_CIT_vc1
MAL_CIT_vc2
MAL_PROTON_rev_vc1
MAL_PROTON_rev_vc2
MAL_PROTON_vc1
MAL_PROTON_vc2
MAL_v_dielTransfer
MALATE_DEH_RXN_c1
MALATE_DEH_RXN_c2
MALATE_DEH_RXN_m1
MALATE_DEH_RXN_m2
MALATE_DEHYDROGENASE_NADPs_RXN_p1
MALATE_DEHYDROGENASE_NADPs_RXN_p2
MALIC_NAD_RXN_m1
MALIC_NAD_RXN_m2
MALIC_NADP_RXN_c1
MALIC_NADP_RXN_c2
MALIC_NADP_RXN_p1
MALIC_NADP_RXN_p2
NADPHoxc_tx1
NADPHoxc_tx2
NADPHoxm_tx1
NADPHoxm_tx2
NADPHoxp_tx1
NADPHoxp_tx2
NH4_tx1
NH4_tx2
NITRATE_PROTON_rev_vc1
NITRATE_PROTON_rev_vc2
Nitrate_tx1
Nitrate_tx2
NITRATE_vc1
NITRATE_vc2
OXYGEN_MOLECULE_e_dielTransfer
O2_tx1
O2_tx2
PEPCARBOX_RXN_c1
PEPCARBOX_RXN_c2
PEPCARBOXYKIN_RXN_c1
PEPCARBOXYKIN_RXN_c2
Phloem_output_tx1
Phloem_output_tx2
PHOSPHORIBULOKINASE_RXN_p1
PHOSPHORIBULOKINASE_RXN_p2
Photon_tx1
Photon_tx2
Pi_tx1
Pi_tx2
PROTONATP_rev_vc1
PROTONATP_rev_vc2
PROTON_ATPase_c1
PROTON_ATPase_c2
PROTON_PPi_rev_vc1
PROTON_PPi_rev_vc2
PROTON_v_dielTransfer
PSII_RXN_p1
PSII_RXN_p2
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p1
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p2
RIBULP3EPIM_RXN_c1
RIBULP3EPIM_RXN_c2
RIBULP3EPIM_RXN_p1
RIBULP3EPIM_RXN_p2
PLASTOQUINOL_PLASTOCYANIN_REDUCTASE_RXN_p1
PLASTOQUINOL_PLASTOCYANIN_REDUCTASE_RXN_p2
RXN490_3650_p1
RXN490_3650_p2
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p1
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p2
Plastidial_ATP_Synthase_p1
Plastidial_ATP_Synthase_p2
SO4_tx1
SO4_tx2
STARCH_p_dielTransfer
SUCROSE_PROTON_rev_vc1
SUCROSE_PROTON_rev_vc2
SUCROSE_PROTON_vc1
SUCROSE_PROTON_vc2
Sucrose_tx1
Sucrose_tx2
SUCROSE_v_dielTransfer
PGLUCISOM_RXN_c1
PGLUCISOM_RXN_c2
6PFRUCTPHOS_RXN_c1
6PFRUCTPHOS_RXN_c2
F16ALDOLASE_RXN_c1
F16ALDOLASE_RXN_c2
TRIOSEPISOMERIZATION_RXN_c1
TRIOSEPISOMERIZATION_RXN_c2
GAPOXNPHOSPHN_RXN_c1
GAPOXNPHOSPHN_RXN_c2
PHOSGLYPHOS_RXN_c1
PHOSGLYPHOS-RXN_c
3PGAREARR_RXN_c1
3PGAREARR_RXN_c2
2PGADEHYDRAT_RXN_c1
2PGADEHYDRAT_RXN_c2
PEPDEPHOS_RXN_c1
PEPDEPHOS_RXN_c2
PGLUCISOM_RXN_p1
PGLUCISOM_RXN_p2
6PFRUCTPHOS-RXN_p1
6PFRUCTPHOS_RXN_p2
F16ALDOLASE_RXN_p1
F16ALDOLASE_RXN_p2
TRIOSEPISOMERIZATION_RXN_p1
TRIOSEPISOMERIZATION_RXN_p2
GAPOXNPHOSPHN_RXN_p1
GAPOXNPHOSPHN_RXN_p2
PHOSGLYPHOS_RXN_p1
PHOSGLYPHOS_RXN_p2
3PGAREARR_RXN_p1
3PGAREARR_RXN_p2
2PGADEHYDRAT_RXN_p1
2PGADEHYDRAT_RXN_p2
PEPDEPHOS_RXN_p1
PEPDEPHOS_RXN_p2
GLU6PDEHYDROG_RXN_c1
GLU6PDEHYDROG_RXN_c2
GLU6PDEHYDROG_RXN_p1
GLU6PDEHYDROG_RXN_p2
6PGLUCONDEHYDROG_RXN_c1
6PGLUCONDEHYDROG_RXN_c2
6PGLUCONDEHYDROG_RXN_p1
6PGLUCONDEHYDROG_RXN_p2
RIBULP3EPIM_RXN_p1
RIBULP3EPIM_RXN_p2
RIB5PISOM_RXN_p1
RIB5PISOM_RXN_p2
1TRANSKETO_RXN_p1
1TRANSKETO_RXN_p2
TRANSALDOL_RXN_p1
TRANSALDOL_RXN_p2
2TRANSKETO_RXN_p1
2TRANSKETO_RXN_p2
PYRUVDEH_RXN_m1
PYRUVDEH_RXN_m2
CITSYN_RXN_m1
CITSYN_RXN_m2
ACONITATEDEHYDR_RXN_m1
ACONITATEDEHYDR_RXN_m2
ACONITATEHYDR_RXN_m1
ACONITATEHYDR_RXN_m2
ISOCITDEH_RXN_m1
ISOCITDEH_RXN_m2
2OXOGLUTARATEDEH_RXN_m1
2OXOGLUTARATEDEH_RXN_m2
SUCCCOASYN_RXN_m1
SUCCCOASYN_RXN_m2
SUCCINATE_DEHYDROGENASE_UBIQUINONE_RXN_mc1
SUCCINATE_DEHYDROGENASE_UBIQUINONE_RXN_mc2
SUCCINATE_DEHYDROGENASE_UBIQUINONE_RXN_mi1
SUCCINATE_DEHYDROGENASE_UBIQUINONE_RXN_mi2
FUMHYDR_RXN_m1
FUMHYDR_RXN_m2
MALATE_DEH_RXN_m1
MALATE_DEH_RXN_m2
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p1
RIBULOSE_BISPHOSPHATE_CARBOXYLASE_RXN_p2
PHOSGLYPHOS_RXN_c1
PHOSGLYPHOS-RXN_c2
PHOSGLYPHOS_RXN_p1
PHOSGLYPHOS_RXN_p2
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p1
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p2
TRIOSEPISOMERIZATION_RXN_p1
TRIOSEPISOMERIZATION_RXN_p2
F16ALDOLASE_RXN_p1
F16ALDOLASE_RXN_p2
F16BDEPHOS_RXN_p1
F16BDEPHOS_RXN_p2
2TRANSKETO_RXN_p1
2TRANSKETO_RXN_p2
RIBULP3EPIM_RXN_p1
RIBULP3EPIM_RXN_p2
PHOSPHORIBULOKINASE_RXN_p1
PHOSPHORIBULOKINASE_RXN_p2
SEDOBISALDOL_RXN_p1
SEDOBISALDOL_RXN_p2
SEDOHEPTULOSE_BISPHOSPHATASE_RXN_p1
SEDOHEPTULOSE_BISPHOSPHATASE_RXN_p2
1TRANSKETO_RXN_p1
1TRANSKETO_RXN_p2
RIB5PISOM_RXN_p1
RIB5PISOM_RXN_p2
RXN_1827_p1
RXN_1827_p2
RXN_2141_p1
RXN_2141_p2
RXN_1826_p1
RXN_1826_p2
PGLUCISOM_RXN_c1
PGLUCISOM_RXN_c2
PHOSPHOGLUCMUT_RXN_c1
PHOSPHOGLUCMUT_RXN_c2
PGLUCISOM_RXN_p1
PGLUCISOM_RXN_p2
PHOSPHOGLUCMUT_RXN_p1
PHOSPHOGLUCMUT_RXN_p2
