C1,C2,C3ald,C3ket,C4ald,C4ket,C4fur
1000.0,0.0,0.0,0.0,0.0,0.0,0.0
800.0,100.0,0.0,0.0,0.0,0.0,0.0
600.0,200.0,0.0,0.0,0.0,0.0,0.0
464.0,256.0,8.0,0.0,0.0,0.0,0.0
380.0,280.0,20.0,0.0,0.0,0.0,0.0
324.6912,289.6512,31.5064,0.0008,0.37120000000000003,0.0,0.0
284.4112,293.45120000000003,41.3844,0.0028,1.1312,0.0,0.0
252.89862027520002,294.58899220480004,49.762983848576,0.00595064,2.1540737223679995,3.7120000000000004e-05,3.7120000000000004e-05
227.19757465824,294.33211072000006,56.927907515392,0.01008908,3.3307530488959998,0.00015024,0.00015024
205.6974182675263,293.27819778076895,63.114547189084504,0.015065378384857601,4.588605822387482,0.00036564737223679995,0.00036564737223679995
187.39312825965996,291.7535835544749,68.50262031650885,0.020758169136396804,5.880994848259379,0.0006987226771264,0.0006987226771264
171.59993593031726,289.95298725206624,73.23071573236379,0.027069623855305255,7.177868207704527,0.0011575832593651483,0.0011575832593651483
157.82574532469565,287.9985202326061,77.40743510914662,0.03391988588695614,8.459795940759482,0.001745682744191086,0.001745682744191086
145.70420770613148,285.9690182038507,81.11906482831876,0.04124295746019252,9.714281193077662,0.0024634695649615387,0.0024634695649615387
134.9553678038829,283.9162486409563,84.43499358164249,0.048983700971107186,10.933431868272843,0.003309449159037487,0.003309449159037487
125.3607967455721,281.8744741889329,87.41163169068165,0.05709560745393906,12.112456490982169,0.004280877278345254,0.004280877278345254
116.74710874823904,279.8663538291308,90.09529480597448,0.06553910681210331,13.248672022854592,0.005374220465172538,0.005374220465172538
108.9746428300883,277.90670838984107,92.52435533010436,0.07428026998117149,14.340837465264732,0.006585466114270755,0.006585466114270755
101.92947006728562,276.00498809980667,94.73086804712825,0.08328979946176894,15.388699381699652,0.007910333316556214,0.007910333316556214
95.51761622509149,274.1669251166074,96.74181318276386,0.09254223499477937,16.392677987978303,0.009344417063082687,0.009344417063082687
89.6608019162521,272.3956603260094,98.58005759534745,0.1020153217994922,17.353648096069566,0.010883287001252653,0.010883287001252653
